,dt_controls,performance
0,0.2,0.5826455766170668
1,0.7,0.6428907392797113
2,1.2,0.6769051539167789
3,1.7,0.5989212509073876
4,2.2,0.7641427350602098
5,2.8,0.9625782288784492
6,3.3,1.1251629713240447
7,3.8,1.2848982860237437
8,4.3,1.4419998044339266
9,4.8,1.5966429594091642
10,5.3,1.7493026778624108
11,5.8,1.9002104807935336
12,6.3,2.0501138537283508
13,6.8,2.2000915480654495
14,7.3,2.3478721863534044
15,7.9,2.5216875757361383
16,8.4,2.663731980357773
17,8.9,2.803443395713458
18,9.4,2.9410540168227257
19,9.9,3.076745085226701
20,10.4,3.210723644241136
21,10.9,3.3432941404958085
22,11.4,3.4744953895529567
23,11.9,3.604572404236992
24,12.4,3.73377089418026
25,13.0,3.8877940167056333
26,13.5,4.015240301484309
27,14.0,4.141894380066272
28,14.5,4.26768163693982
29,15.0,4.392498336219791
