,Unnamed: 0,dt_controls,performance
1,160,0.3,868.6696043812167
2,233,0.3,864.3849723133543
3,34,0.4,856.5846132037532
4,50,0.4,899.4742866981372
5,144,0.4,892.4150072729415
6,299,0.5,846.2663981075566
7,62,0.6,932.0417157870099
9,163,0.7,949.2487776232606
10,381,0.9,925.5863016343884
11,271,1.1,982.9612139376103
12,334,1.2,997.3809773537732
13,137,1.2,984.4981394522748
14,360,1.5,1005.9052313173833
15,348,1.6,1171.0193318985575
16,118,1.7,942.0332712466424
17,350,1.9,1017.4358212945018
18,52,1.9,1010.7763512967996
19,321,2.0,1186.4088476054415
20,154,2.0,1081.3354856938104
21,258,2.0,1018.7883068699169
22,199,2.1,1015.6615577027848
24,335,2.1,1054.137446989137
25,219,2.2,1065.22369061965
26,25,2.2,1136.938579449714
28,0,2.3,1087.6822478262447
30,7,2.4,1120.688690436616
31,355,2.4,1145.93274107569
32,339,2.6,1009.4644577260857
33,11,2.6,1095.1863001038594
34,18,2.6,1045.6382445880313
35,206,2.7,1063.6375770391842
36,347,2.8,1020.0786860392147
37,189,2.8,987.771036499948
38,284,2.9,1052.0134453611424
39,254,3.0,996.7053980016267
40,349,3.1,1041.7245419984788
41,225,3.2,1043.8232916857742
43,177,3.6,911.2982952211836
44,282,3.6,1015.3902743928801
45,322,3.6,993.9147823802845
46,151,3.7,1007.469142712939
47,120,3.9,982.0728297996136
48,268,3.9,1045.1129444349249
50,215,3.9,998.4365281277733
51,390,3.9,994.5531892706932
52,386,4.0,1051.511715554292
53,389,4.0,949.6360528686347
54,197,4.2,920.7589466600522
55,184,4.2,982.870264156978
56,243,4.4,952.1181897247014
57,170,4.5,1123.4903313970617
59,106,4.8,976.3066838029532
60,391,4.8,1052.9053931157866
61,133,4.9,1006.8680500980593
63,207,5.0,1066.6033490700247
64,267,5.1,1022.1594970038369
66,116,5.2,1016.0471745810547
67,272,5.2,1109.6636227403385
69,4,5.3,1082.6227449041226
70,342,5.3,1018.0623493273703
71,45,5.5,984.7131284635531
72,368,5.5,1040.7857403447442
73,285,5.6,1001.2727774997886
74,217,5.6,1007.4772149128972
75,294,5.7,1182.9519146807493
76,100,5.7,1131.5612512697016
77,152,5.8,1055.1833884278306
79,370,5.9,1041.7735460816368
80,286,6.0,1074.4536914202527
81,180,6.1,1070.5587475511225
82,86,6.2,1076.1901195253615
83,231,6.2,1077.45911696285
85,94,6.3,994.234789994297
86,242,6.3,1015.9236050858873
87,10,6.4,1058.0085387307706
88,72,6.4,1054.5228039094732
89,280,6.5,1181.9003286683328
91,209,6.6,1049.4165025131406
92,27,6.8,1024.1006896709027
93,31,6.8,1197.3481221174145
94,191,6.8,1097.022438841869
95,240,6.8,1062.8704415659909
97,55,6.8,1013.09982509733
99,63,6.8,1113.874330068474
101,241,7.0,1062.686778351641
102,79,7.0,1164.5453943260602
103,238,7.2,1122.7083535398724
104,175,7.3,1032.2218488397857
105,302,7.3,1111.2202070023443
106,64,7.5,1033.7683614435336
107,149,7.5,1066.584633031177
110,313,7.6,1260.54386513892
111,81,7.7,1159.0793850003454
112,292,7.7,1078.6332017011537
113,88,7.8,1057.1765659725027
114,16,7.8,1097.4504201447382
115,68,7.8,1056.4758382223115
116,117,7.8,1030.7321932118089
117,338,7.9,1060.385050400891
118,138,7.9,1086.369927105868
120,279,8.0,1106.4401196509048
121,103,8.1,1039.7173087558076
122,140,8.1,1006.8038086546209
123,344,8.2,973.0453582660617
124,38,8.2,1202.2364403247964
125,237,8.2,1048.9649820813265
126,19,8.3,1188.6652361633555
127,274,8.3,1105.7193771176476
128,131,8.4,1066.8584450572382
