,log2_Ns,performance
0,1.0,1.8973838551989448
0,1.0,1.8766005492292015
0,1.0,1.9224164613122925
0,1.0,1.788138637916613
0,1.0,1.8409147823672527
0,1.0,1.9450931875304722
0,1.0,1.7413732043890104
0,1.0,1.9520640674069307
0,1.0,1.8540531332876447
0,1.0,1.8264469119621993
1,2.0,2.2591747714055828
1,2.0,2.0733569386283373
1,2.0,2.144724440075742
1,2.0,1.8417629605162225
1,2.0,2.021048198408698
1,2.0,1.9909795175833456
1,2.0,1.9879970198989458
1,2.0,1.761802504261218
1,2.0,2.1566858712626225
1,2.0,2.067158331383765
2,3.0,1.867663075180483
2,3.0,1.918786345662942
2,3.0,1.8995174987492496
2,3.0,1.9989755879721451
2,3.0,1.7935561002506937
2,3.0,1.8673047096321609
2,3.0,1.906509899251298
2,3.0,2.0641290297478516
2,3.0,2.151868794186101
2,3.0,2.159575770352811
3,4.0,1.978602689717816
3,4.0,1.9451667706752673
3,4.0,2.00167049268412
3,4.0,1.8777036559140663
3,4.0,2.0458151139337337
3,4.0,1.9528411077371657
3,4.0,2.0198724576018483
3,4.0,2.0121561906899297
3,4.0,2.0172347800549844
3,4.0,1.9937832564889937
4,5.0,1.7988447127766771
4,5.0,2.019404621135604
4,5.0,2.0207989056893
4,5.0,1.982701330369954
4,5.0,1.8974426027142028
4,5.0,2.15919146842314
4,5.0,1.9409859105712808
4,5.0,2.0119317436885917
4,5.0,1.7458815291899898
4,5.0,1.911550027866506
5,6.0,2.2725106137054936
5,6.0,1.9493745108686944
5,6.0,1.8863262764014634
5,6.0,2.0056476931371416
5,6.0,2.0421588902172347
5,6.0,1.9778741391564465
5,6.0,2.0466734899725907
5,6.0,1.9141570939416224
5,6.0,1.850870473254298
5,6.0,2.0632575244971454
6,7.0,2.1497543202077756
6,7.0,1.8994262201199232
6,7.0,1.6979988656231884
6,7.0,1.8622790336112849
6,7.0,1.9255776067791346
6,7.0,1.856423519166572
6,7.0,1.9407653098735145
6,7.0,1.9223113093432098
6,7.0,2.037404168718958
6,7.0,2.0537785213452
7,8.0,1.813933163746906
7,8.0,2.044630225031832
7,8.0,2.182387201211414
7,8.0,2.0388222960711886
7,8.0,1.94555981145464
7,8.0,1.8154696046110208
7,8.0,1.8581837867503226
7,8.0,1.9190797823109131
7,8.0,1.9471060482157412
7,8.0,1.9474953211059345
8,9.0,1.9775709140472961
8,9.0,1.9360072635960532
8,9.0,1.9194923506326007
8,9.0,1.864633626567492
8,9.0,1.8915600262055428
8,9.0,1.8801174592813896
8,9.0,2.006263165666177
8,9.0,1.8930314657011764
8,9.0,1.8985435621948061
8,9.0,1.8819231739847848
9,10.0,1.958468726150261
9,10.0,1.8678377359407785
9,10.0,1.930876579119733
9,10.0,2.1045666703792523
9,10.0,1.7898771453627533
9,10.0,1.9437254425433346
9,10.0,1.9110906520648059
9,10.0,1.9583344876236266
9,10.0,1.9897855638809696
9,10.0,2.1140227030672696
10,11.0,1.807457459148674
10,11.0,1.953759560203628
10,11.0,1.9664579034522092
10,11.0,1.9909289424998433
10,11.0,1.9479118941003948
10,11.0,2.010989198542718
10,11.0,1.80318340381046
10,11.0,1.9392118306621875
10,11.0,1.9259046579375747
10,11.0,1.8127000224846135
11,12.0,1.822500361502772
11,12.0,1.7468542341296533
11,12.0,1.978538534773691
11,12.0,2.079124066890626
11,12.0,1.953616287212892
11,12.0,1.9325515812429281
11,12.0,1.9381913086430569
11,12.0,1.849230543614223
11,12.0,1.929843885769152
11,12.0,1.881730376916005
12,13.0,1.8682313004124462
12,13.0,1.9654572974621
12,13.0,1.953836041539188
12,13.0,1.9435075207585584
12,13.0,1.7977990744086427
12,13.0,2.100665900407697
12,13.0,1.9840981860975944
12,13.0,1.8589176776248808
12,13.0,2.1065618929372074
12,13.0,1.7463304576975585
13,14.0,1.881865291724591
13,14.0,1.760912983856719
13,14.0,2.083898829963516
13,14.0,2.03279589882171
13,14.0,1.9254639611309436
13,14.0,2.0076594017841494
13,14.0,2.226782826553548
13,14.0,1.885636057627138
13,14.0,2.0925119081684933
13,14.0,2.094986752159384
14,15.0,1.8540226402880537
14,15.0,2.046652507597848
14,15.0,1.968983535540584
14,15.0,1.903357516005621
14,15.0,1.856246549812675
14,15.0,1.9550126729315083
14,15.0,2.0077024106133594
14,15.0,1.9686928890338795
14,15.0,1.971717867189464
14,15.0,1.993168314848189
15,16.0,1.957735183185116
15,16.0,1.9655691059150102
15,16.0,1.8984907439146272
15,16.0,1.8921588947330432
15,16.0,1.993298467066078
15,16.0,2.2335601119392225
15,16.0,1.9847020955953758
15,16.0,2.109550421846955
15,16.0,1.958497815552404
15,16.0,2.004008307886348
16,17.0,1.8851987755725066
16,17.0,2.0212254356076884
16,17.0,2.201014833077505
16,17.0,2.0581302210587618
16,17.0,2.103975464704227
16,17.0,1.829414412245301
16,17.0,1.8047736232330442
16,17.0,2.0149671873247392
16,17.0,1.893018919556381
16,17.0,1.8915234769625229
17,18.0,1.9631475459425818
17,18.0,2.0231000859011252
17,18.0,2.018601285706995
17,18.0,1.9986178556270648
17,18.0,2.0294226562918074
17,18.0,2.1458187345736803
17,18.0,2.012911968923347
17,18.0,1.9784750194660812
17,18.0,1.7174963984824
17,18.0,2.1768524332818604
18,19.0,1.984481463471944
18,19.0,1.9505279074194921
18,19.0,1.863877135711271
18,19.0,1.953062190746778
18,19.0,2.065933150966232
18,19.0,1.893824914023276
18,19.0,2.0643774303156706
18,19.0,2.0877669647141857
18,19.0,2.00114179641517
18,19.0,1.779560633158518
